Группа;Поле;Тип;Обязательное;Множественное;Значения списка;Зачем нужно
Профиль;Система налогообложения;Список;да;нет;ОСНО / УСН-Д / УСН-ДР / ПСН / АУСН / ЕСХН / НПД;Определяет весь налоговый блок задач
Профиль;Плательщик НДС;ДА/НЕТ;да;нет;;Декларация и уплата НДС, сверка книг покупок и продаж
Профиль;Численность сотрудников;Число;да;нет;;Весь зарплатный и кадровый блок, РСВ, ЕФС-1, персведения
Профиль;Договоры ГПХ;ДА/НЕТ;да;нет;;НДФЛ и взносы по ГПХ даже при нулевом штате
Профиль;Онлайн-касса;ДА/НЕТ;да;нет;;Кассовая дисциплина, сверка с ОФД
Профиль;ВЭД;ДА/НЕТ;да;нет;;Валютный контроль, ГТД, курсовые разницы, НДС при импорте
Профиль;Имущество на балансе;ДА/НЕТ;да;нет;;Авансы и декларации по транспорту, земле, недвижимости
Профиль;Маркировка и прослеживаемость;ДА/НЕТ;да;нет;;Отчёт по РНПТ, Честный знак
Профиль;Алкоголь;ДА/НЕТ;да;нет;;Декларации по обороту алкоголя, ЕГАИС
Профиль;Обособленные подразделения;ДА/НЕТ;да;нет;;Раздельный НДФЛ по ОКТМО, отдельная отчётность
Профиль;Дата начала обслуживания;Дата;да;нет;;Отделяет наши периоды от периодов предыдущего бухгалтера
Профиль;Внешний идентификатор (client_id);Строка;нет;нет;;Связь карточки с внешним генератором плана
Договор;Номер договора;Строка;да;нет;;Счета за месяц и генерация документов
Договор;Дата договора;Дата;да;нет;;То же
Договор;Тариф по договору;Список;да;нет;Базовый / Стандарт / Полный;Ограничивает состав сервисных задач
Договор;Сумма по договору;Число;да;нет;;Расчёт рентабельности и отклонения от факта
Зарплата;День выплаты аванса;Число;нет;нет;;Задача на расчёт аванса и уведомление по НДФЛ
Зарплата;День выплаты зарплаты;Число;нет;нет;;Задача на расчёт зарплаты, срок по ст. 136 ТК РФ
Доступы;Учётная база 1С (ссылка);Ссылка;нет;нет;;Быстрый переход в базу клиента из карточки
Доступы;Логин ЭДО;Строка;нет;нет;;Отправка отчётности; шифровать
Доступы;Пароль ЭДО;Строка;нет;нет;;Шифровать обязательно, доступ по ПИН-коду
Доступы;Срок действия доверенности;Дата;нет;нет;;Задача на переоформление до истечения
Доступы;Срок действия ЭЦП;Дата;нет;нет;;Задача на перевыпуск до истечения — иначе срыв сдачи отчёта
Банк;Основной банк;Строка;нет;да;;Сверка выписок, валютный контроль
Контроль;Законный срок;Дата;нет;нет;;Поле задачи: фиксирует дедлайн по НК РФ отдельно от внутреннего срока
Контроль;Код задачи;Строка;нет;нет;;Поле задачи: связь с каталогом регламентов
Контроль;Плановое время;Число;нет;нет;;Поле задачи: расчёт нагрузки и себестоимости
