# Нерабочие праздничные дни и переносы. Субботы и воскресенья учитываются автоматически.
# ВАЖНО: список содержит только гарантированные дни по ТК РФ ст. 112 и переносы совпавших с выходными праздников.
# Дополнительные переносы из ежегодного постановления Правительства РФ вносите вручную перед началом года.
date;comment
2026-01-01;нерабочий праздничный день (ТК РФ ст. 112)
2026-01-02;нерабочий праздничный день (ТК РФ ст. 112)
2026-01-03;нерабочий праздничный день (ТК РФ ст. 112)
2026-01-04;нерабочий праздничный день (ТК РФ ст. 112)
2026-01-05;нерабочий праздничный день (ТК РФ ст. 112)
2026-01-06;нерабочий праздничный день (ТК РФ ст. 112)
2026-01-07;нерабочий праздничный день (ТК РФ ст. 112)
2026-01-08;нерабочий праздничный день (ТК РФ ст. 112)
2026-01-09;нерабочий праздничный день (ТК РФ ст. 112)
2026-01-12;нерабочий праздничный день (ТК РФ ст. 112)
2026-02-23;нерабочий праздничный день (ТК РФ ст. 112)
2026-03-08;нерабочий праздничный день (ТК РФ ст. 112)
2026-03-09;нерабочий праздничный день (ТК РФ ст. 112)
2026-05-01;нерабочий праздничный день (ТК РФ ст. 112)
2026-05-09;нерабочий праздничный день (ТК РФ ст. 112)
2026-05-11;нерабочий праздничный день (ТК РФ ст. 112)
2026-06-12;нерабочий праздничный день (ТК РФ ст. 112)
2026-11-04;нерабочий праздничный день (ТК РФ ст. 112)
2027-01-01;нерабочий праздничный день (ТК РФ ст. 112)
2027-01-02;нерабочий праздничный день (ТК РФ ст. 112)
2027-01-03;нерабочий праздничный день (ТК РФ ст. 112)
2027-01-04;нерабочий праздничный день (ТК РФ ст. 112)
2027-01-05;нерабочий праздничный день (ТК РФ ст. 112)
2027-01-06;нерабочий праздничный день (ТК РФ ст. 112)
2027-01-07;нерабочий праздничный день (ТК РФ ст. 112)
2027-01-08;нерабочий праздничный день (ТК РФ ст. 112)
2027-01-11;нерабочий праздничный день (ТК РФ ст. 112)
2027-01-12;нерабочий праздничный день (ТК РФ ст. 112)
2027-02-23;нерабочий праздничный день (ТК РФ ст. 112)
2027-03-08;нерабочий праздничный день (ТК РФ ст. 112)
2027-05-01;нерабочий праздничный день (ТК РФ ст. 112)
2027-05-03;нерабочий праздничный день (ТК РФ ст. 112)
2027-05-09;нерабочий праздничный день (ТК РФ ст. 112)
2027-05-10;нерабочий праздничный день (ТК РФ ст. 112)
2027-06-12;нерабочий праздничный день (ТК РФ ст. 112)
2027-06-14;нерабочий праздничный день (ТК РФ ст. 112)
2027-11-04;нерабочий праздничный день (ТК РФ ст. 112)
2028-01-01;нерабочий праздничный день (ТК РФ ст. 112)
2028-01-02;нерабочий праздничный день (ТК РФ ст. 112)
2028-01-03;нерабочий праздничный день (ТК РФ ст. 112)
2028-01-04;нерабочий праздничный день (ТК РФ ст. 112)
2028-01-05;нерабочий праздничный день (ТК РФ ст. 112)
2028-01-06;нерабочий праздничный день (ТК РФ ст. 112)
2028-01-07;нерабочий праздничный день (ТК РФ ст. 112)
2028-01-08;нерабочий праздничный день (ТК РФ ст. 112)
2028-01-10;нерабочий праздничный день (ТК РФ ст. 112)
2028-01-11;нерабочий праздничный день (ТК РФ ст. 112)
2028-01-12;нерабочий праздничный день (ТК РФ ст. 112)
2028-02-23;нерабочий праздничный день (ТК РФ ст. 112)
2028-03-08;нерабочий праздничный день (ТК РФ ст. 112)
2028-05-01;нерабочий праздничный день (ТК РФ ст. 112)
2028-05-09;нерабочий праздничный день (ТК РФ ст. 112)
2028-06-12;нерабочий праздничный день (ТК РФ ст. 112)
2028-11-04;нерабочий праздничный день (ТК РФ ст. 112)
2028-11-06;нерабочий праздничный день (ТК РФ ст. 112)
