code;title;block;freq;months;period;legal_due_day;lead_days;int_due_day;role;applies_if;checklist;effort_min;crit;basis
DOC-10;Запрос первичных документов за {period};Первичка;M;;PM;0;0;1;ASSIST;-;checklists/doc-sbor.md;15;B;Регламент агентства
DOC-20;Контроль поступления первички, реестр недостающих документов;Первичка;M;;PM;0;0;8;ASSIST;-;checklists/doc-sbor.md;30;B;Регламент агентства
DOC-30;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;M;;PM;0;0;12;ACCT;-;checklists/escalation.md;20;B;Договор, п. об обязанностях клиента
DOC-40;Обработка ЭДО и загрузка сканов в 1С;Первичка;M;;PM;0;0;10;ASSIST;-;checklists/doc-sbor.md;60;B;Регламент агентства
DOC-50;Архивирование документов закрытого периода;Первичка;M;;PM;0;0;25;ASSIST;-;;20;C;ФЗ-402 ст. 29
ACC-10;Разнесение банковских выписок за {period};Учёт;M;;PM;0;0;8;ACCT;-;checklists/close-month.md;60;B;ФЗ-402 ст. 9
ACC-20;Проведение поступлений и реализаций за {period};Учёт;M;;PM;0;0;12;ACCT;-;checklists/close-month.md;120;B;ФЗ-402 ст. 9
ACC-30;Проверка кассовой дисциплины и сверка с ОФД;Учёт;M;;PM;0;0;12;ACCT;kassa;checklists/kassa.md;30;B;Указание ЦБ 3210-У, ФЗ-54
ACC-40;Учёт ВЭД: валютный контроль, ГТД, курсовые разницы;Учёт;M;;PM;0;0;14;ACCT;ved;checklists/ved.md;90;B;ФЗ-173, НК РФ гл. 21
ACC-50;Экспресс-проверка и закрытие месяца в 1С;Учёт;M;;PM;0;0;15;ACCT;-;checklists/close-month.md;60;B;Регламент агентства
ACC-60;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;Q;1,4,7,10;PQ;0;0;20;ACCT;-;;90;B;ФЗ-402 ст. 11
ACC-70;Контроль сальдо ЕНС и сверка с ФНС;Учёт;M;;CM;0;0;18;ACCT;-;checklists/ens.md;30;B;НК РФ ст. 11.3
ACC-80;Инвентаризация расчётов, ОС и МПЗ перед годовой отчётностью;Учёт;Y;12;CM;0;0;20;ACCT;-;;180;B;ФСБУ 28/2023
ACC-90;Отчёт по прослеживаемым товарам / контроль маркировки;Учёт;Q;1,4,7,10;PQ;25;3;;ACCT;mark;;60;A;ПП РФ 1108
ACC-95;Декларации по объёму оборота алкогольной продукции;Учёт;Q;1,4,7,10;PQ;20;3;;ACCT;alco;;60;A;ПП РФ 815
HR-10;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;M;;PM;0;0;2;PAYROLL;employees>0;checklists/payroll.md;20;B;ТК РФ ст. 91
PAY-10;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;M;;CM;0;0;ADV-2;PAYROLL;employees>0;checklists/payroll.md;60;A;ТК РФ ст. 136
PAY-20;Расчёт заработной платы за {period};Зарплата и кадры;M;;PM;0;0;SAL-2;PAYROLL;employees>0;checklists/payroll.md;90;A;ТК РФ ст. 136
PAY-30;Расчётные листки и реестр на выплату;Зарплата и кадры;M;;PM;0;0;SAL-1;PAYROLL;employees>0;checklists/payroll.md;30;A;ТК РФ ст. 136
HR-20;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;M;;CM;0;0;25;PAYROLL;employees>0;checklists/hr-events.md;60;B;ТК РФ
HR-30;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;M;;CM;25;2;;PAYROLL;employees>0;checklists/hr-events.md;30;A;ФЗ-27 ст. 11
TAX-NDFL-N1;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;M;;CM;25;2;;PAYROLL;employees>0 or gph;checklists/ndfl.md;30;A;НК РФ ст. 58 п. 9
TAX-NDFL-P1;Уплата НДФЛ за период с 1 по 22 число;Налоги;M;;CM;28;1;;PAYROLL;employees>0 or gph;checklists/ndfl.md;15;A;НК РФ ст. 226 п. 6
TAX-NDFL-N2;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;M;;PM;3;1;;PAYROLL;employees>0 or gph;checklists/ndfl.md;30;A;НК РФ ст. 58 п. 9
