Название задачи;Клиент;ИНН/ID клиента;Ответственный;Дата начала;Срок (внутренний);Законный срок;Приоритет;Категория;Период;Плановое время, мин;Чек-лист;Основание;Метка
[HR-10] Приём табеля учёта рабочего времени и данных по отсутствиям;ИП Новиков С.С.;CL-008;Волкова Н.Ю.;2026-10-01;2026-10-02;;Средний;Зарплата и кадры;сентябрь 2026;20;checklists/payroll.md;ТК РФ ст. 91;2026-10
[PAY-20] Расчёт заработной платы за сентябрь 2026;ИП Новиков С.С.;CL-008;Волкова Н.Ю.;2026-10-01;2026-10-02;;Высокий;Зарплата и кадры;сентябрь 2026;90;checklists/payroll.md;ТК РФ ст. 136;2026-10
[PAY-30] Расчётные листки и реестр на выплату;ИП Новиков С.С.;CL-008;Волкова Н.Ю.;2026-10-01;2026-10-02;;Высокий;Зарплата и кадры;сентябрь 2026;30;checklists/payroll.md;ТК РФ ст. 136;2026-10
[TAX-NDFL-N2] Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;ИП Новиков С.С.;CL-008;Волкова Н.Ю.;2026-10-01;2026-10-02;2026-10-05;Высокий;Налоги;сентябрь 2026;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;2026-10
[TAX-NDFL-P2] Уплата НДФЛ за период с 23 по последнее число прошлого месяца;ИП Новиков С.С.;CL-008;Волкова Н.Ю.;2026-10-01;2026-10-02;2026-10-05;Высокий;Налоги;сентябрь 2026;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;2026-10
[TAX-SFR-P] Уплата взносов на травматизм в СФР за сентябрь 2026;ИП Новиков С.С.;CL-008;Волкова Н.Ю.;2026-10-09;2026-10-14;2026-10-15;Высокий;Налоги;сентябрь 2026;15;;ФЗ-125 ст. 22;2026-10
[PAY-10] Расчёт и согласование аванса за первую половину месяца;ИП Новиков С.С.;CL-008;Волкова Н.Ю.;2026-10-13;2026-10-16;;Высокий;Зарплата и кадры;октябрь 2026;60;checklists/payroll.md;ТК РФ ст. 136;2026-10
[REP-6NDFL] 6-НДФЛ за 9 месяцев 2026;ИП Новиков С.С.;CL-008;Волкова Н.Ю.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;90;checklists/reporting.md;НК РФ ст. 230;2026-10
[REP-RSV] РСВ за 9 месяцев 2026;ИП Новиков С.С.;CL-008;Волкова Н.Ю.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;90;checklists/reporting.md;НК РФ ст. 431;2026-10
[REP-EFS2] ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;ИП Новиков С.С.;CL-008;Волкова Н.Ю.;2026-10-16;2026-10-21;2026-10-26;Высокий;Отчётность;9 месяцев 2026;45;checklists/reporting.md;ФЗ-125 ст. 24;2026-10
